scopus_source_id,print_issn,e_issn,frequency,review_time,journal_website
24355,3050548,1873765X,Monthly,,http://www.journals.elsevier.com/computers-and-operations-research/
24783,12256463,22337326,Bi-monthly,8 weeks,https://onlinelibrary.wiley.com/journal/22337326
25021,10586180,19341547,Quarterly,,http://www.computer.org/portal/web/computingnow/annals
25563,1676911,18727956,Monthly,,http://www.journals.elsevier.com/systems-and-control-letters/#description
25823,10762787,10990526,Annual,23 weeks,https://www.hindawi.com/journals/complexity/
26168,87554615,,Quarterly,,http://cconlinejournal.org/
28049,9272852,15729095,Bi-monthly,,http://www.springerlink.com/content/100235/
28347,15261719,,Annual,,http://jgaa.info/
28540,975397,10957111,Bi-monthly,,http://www.siam.org/journals/sicomp.php
28887,13613723,18737056,Monthly,,https://www.sciencedirect.com/journal/computer-fraud-and-security
28898,1674048,18726208,Bi-monthly,,http://www.journals.elsevier.com/computers-and-security/
32853,3876101,18826652,Bi-monthly,,http://www.ipsj.or.jp/jip.html
4000151614,16873955,16873963,Annual,,https://jes-eurasipjournals.springeropen.com/
5300152203,16977912,16977920,Quarterly,50 weeks,https://polipapers.upv.es/index.php/RIAI
5800173377,15564681, 1556472X,Quarterly,,https://tkdd.acm.org/
6400153142,16875680,16875699,Annual,17 weeks,https://www.hindawi.com/journals/am/
7000153240,16875265,16875273,Annual,20 weeks,https://www.hindawi.com/journals/cin/
7600153103,1279084,,Quarterly,,https://ejournal.um.edu.my/index.php/MJCS
78470,13658050,,Quarterly,,http://www.dmtcs.org/dmtcs-ojs/index.php/dmtcs
8000153138,15740137,18767745,Quarterly,,http://www.elsevier.com/locate/issn/15740137
13024,0324721X,,Semi-annual,,http://www.inf.u-szeged.hu/actacybernetica/edb/index.xml
144674,20956045,,,,https://ores.su/en/journals/journal-of-geomatics/
145095,9258531,15729583,Quarterly,,http://www.springer.com/philosophy/logic+and+philosophy+of+language/journal/10849
15591,14607425,,Quarterly,21 weeks,http://jasss.soc.surrey.ac.uk/JASSS.html
17700155307,1000582X,,,,
19700174668,15548716,2352927X,Annual,35 weeks,http://www.arctt.info/
19700187808,20080387,,Annual,23 weeks,http://jmehm.tums.ac.ir/index.php/jmehm
21100201542,20738994,,Monthly,11 weeks,http://www.mdpi.com/journal/symmetry/
21100223336,19473478,19473486,Quarterly,,http://www.igi-global.com/gateway/journal/1152
21100262198,19725787,25 weeks,Annual,,http://jfr.unibo.it/
21100262490,20935374,20935382,,,http://www.jowua.org/
21100283367,21532648,,Semi-annual,10 weeks,http://www.ijphm.org/
21100318403,2859831,13480316,,,
21100338508,21686750,,Quarterly,,http://ieeexplore.ieee.org/servlet/opac?punumber=6245516
21100368801,23299290,23299304,Monthly,,https://signalprocessingsociety.org/publications-resources/ieeeacm-transactions-audio-speech-and-language-processing/ieeeacm
21100394266,17419174,17419182,,,
21100400012,,,,,
21100405702,,22638733,,,
21100448516,21653151,2165316X,Annual,,http://www.informingscience.org/Journals/JITEIIP/Overview
21100775395,21661316,21661324,,,
21100818504,,22287477,,,
21100820054,17276209,23125381,,,
21100824892,17579961,1757997X,,,
